公·央视频道,#genre#
丁当精选30首(2小时),https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000ch5q3urc77u1uogf5aq0&ratio=720p&line=0

下饭音乐,http://live.nctv.top/douyu1.php?id=8661966

乔洋精选20首(1小时),https://txmov2.a.kwimgs.com/upic/2024/01/05/17/BMjAyNDAxMDUxNzEwMTJfNDQzMTI2Mjg0XzEyMTM5OTg3NTU2MV8yXzM=_b_Bf81e0b3d32a3fe727949531d0929868e.mp4

五月天精选37首(2小时),https://txmov2.a.kwimgs.com/upic/2021/12/07/23/BMjAyMTEyMDcyMzU2MzBfMjgwMTM4ODFfNjIzMTcwNTU3MTlfMl8z_b_Bd70a16353267a52b31d11f2cb77c6c5b.mp4

任然精选20首(1小时),https://txmov2.a.kwimgs.com/upic/2020/09/23/14/BMjAyMDA5MjMxNDA1MjFfMTc4NDYxNDcyNl8zNjQ5NDI4NzI1Nl8yXzM=_b_B0f6d5151ab2c346816996328a0b66b78.mp4

任贤齐精选36首(2小时),https://txmov2.a.kwimgs.com/bs3/video-hls/5254012023525680703_hlsb.m3u8

刘德华精选60首(4小时),https://k0ub7yffy10yfz.djvod.ndcimgs.com/upic/2023/07/25/08/BMjAyMzA3MjUwODU3MzRfMzYxMjUyNDA3MV8xMDg4MTUzNTczMzFfMF8z_b_Bf67605afd92859a39e607f504f43c9f7.mp4

刘若英精选50首(3小时),https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000csi2q17og65ogriq3jv0&ratio=720p&line=0

南拳妈妈精选13首(1小时),https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000cqfnlknog65p5u0cnn9g&ratio=720p&line=0

古巨基精选86首(6小时),https://k0u6fy1dy17yc6zw2409x8c5ex5000x740xx6z.djvod.ndcimgs.com/bs3/video-hls/5257671255731399908_936fe74351be1d48_9988_hlsfsl200hd15.m3u8

吾聊电影,https://live.ottiptv.cc/huya/16424416

周传雄精选20首(1小时),https://k0ub7yffy10y9z.djvod.ndcimgs.com/bs3/video-hls/5210101864526740619_hlsb.m3u8

周杰伦精选120首(8小时),https://txmov2.a.kwimgs.com/upic/2023/06/18/23/BMjAyMzA2MTgyMzE1MjBfMzQ4MzI0MjA1OF8xMDU4Nzc4MzAzNjZfMF8z_b_B386baa1bb2c0c48626a830ff69393771.mp4

周深精选72首(5小时),https://txmov2.a.kwimgs.com/upic/2023/08/07/21/BMjAyMzA4MDcyMTAzMzZfMzYxMjUyNDA3MV8xMDk5Mjc3MDcwMTFfMF8z_b_B707fdf2100370008b57219d4a1dab568.mp4

喵喵音乐台,http://live.nctv.top/douyu1.php?id=9568091

四面楚歌,https://cfss.cc/api/kg/2762.mp4

孙燕姿精选30首(2小时),https://txmov2.a.kwimgs.com/upic/2020/07/15/19/BMjAyMDA3MTUxOTA1MzhfNTAyNzg4MTc0XzMyNDIzMzUwMjAyXzJfMw==_b_Bd09b171541ea966fd7a324624cfe6c16.mp4

小丑电影,https://live.ottiptv.cc/huya/29869799

小贱精选9首(半小时),https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v1e00fgi0000d2l30hfog65v5tq1s9fg&ratio=720p&line=0

小飞飞流行DJ音乐,http://live.nctv.top/douyu1.php?id=10469362

庄心妍精选44首(2小时),https://txmov2.a.kwimgs.com/upic/2023/09/29/09/BMjAyMzA5MjkwOTEzMDVfMjE0OTExOTI2N18xMTM3OTU3ODM3NzFfMF8z_b_B1909889bf55e6af6f994b05596fb589f.mp4

张学友精选40首(3小时),https://k0ub7yffy10yezw2409x875ex5088x330xxez.djvod.ndcimgs.com/bs3/video-hls/5207287162232816373_hlsb.m3u8

张惠妹精选63首(4小时),https://k0ub7yffy10y9zw2409x875ex5088x330xx9z.djvod.ndcimgs.com/upic/2023/02/23/19/BMjAyMzAyMjMxOTU2MzRfMTg1NzcxNTYxOF85Njg2MDMwMDE1N18yXzM=_b_Bf54be4dff6265ad447bf289ec395ad97.mp4

张杰精选40首(2小时),https://txmov2.a.kwimgs.com/upic/2023/08/06/13/BMjAyMzA4MDYxMzIxNDZfODM0NDUzMTQ2XzEwOTgxMDY1NjE0MF8wXzM=_b_Bd5fedc48db11e5ccd52e4c2de1d8213a.mp4

张韶涵精选96首(6小时),https://txmov2.a.kwimgs.com/upic/2023/04/24/02/BMjAyMzA0MjQwMjA4MDlfMjE0OTExOTI2N18xMDEzNTM2NjA5OTFfMF8z_b_Baa658d527c452cd09e6dc0e9684c1bed.mp4

徐良精选30首(1小时),https://txmov2.a.kwimgs.com/upic/2024/05/08/20/BMjAyNDA1MDgyMDAyMjFfMTg1NzcxNTYxOF8xMzE5MDIyNTY0NzNfMl8z_b_B62cb1e50d6a0dea4efc3e6da93662aa4.mp4?tag=1-1754626109-std-1-9zwa2xbfok-40061606b10eb007&clientCacheKey=3xfdxxsd94byium_b.mp4&tt=b&di=739f67b1&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1

扁豆看电影,https://live.ottiptv.cc/huya/16028551

推流影院,http://222.186.39.38:8000/587078/index.m3u8

救赎电影,https://live.ottiptv.cc/huya/29833341

星弟精选9首(半小时),https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000c83jq9bc77ud2ru6t4n0&ratio=720p&line=0

最长的电影,https://cfss.cc/api/kg/756444.mp4

权志龙精选19首(1小时),https://k0u6fy1dy17yc7z.djvod.ndcimgs.com/upic/2024/01/06/03/BMjAyNDAxMDYwMzM5NTZfNDQzMTI2Mjg0XzEyMTQzNzg5NTQzNl8yXzM=_b_Ba6909c68ab1c5217276621ad0a94c3ab.mp4

杨丞琳精选30首(2小时),https://txmov2.a.kwimgs.com/upic/2020/09/20/20/BMjAyMDA5MjAyMDAyMDdfODI4NTk1NTQ0XzM2MzcyMzIwMzYzXzJfMw==_b_B8aa481540d89fe5ec2b3507f8209c663.mp4?tag=1-1750931214-std-1-wz3snqjkat-8298da1fe959ffc7&clientCacheKey=3x8t5k75nb5mzyc_b.mp4&tt=b&di=739f67b1&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1

林俊杰精选81首(5小时),https://txmov2.a.kwimgs.com/upic/2024/01/09/12/BMjAyNDAxMDkxMjA2MDdfMzQ4MzI0MjA1OF8xMjE2Nzg4Mjk4NTZfMF8z_b_Bc9f7d3b0c4b69136e61d8328a8538bd2.mp4?clientCacheKey=3xajh8b4u5j6uva_b.mp4

林忆莲精选30首(2小时),https://txmov2.a.kwimgs.com/bs3/video-hls/5250071375165662691_hlsb.m3u8

林忆莲精选57首(4小时),https://k0ub7yffy10yez.djvod.ndcimgs.com/upic/2024/01/16/07/BMjAyNDAxMTYwNzEzNTNfODI4NTk1NTQ0XzEyMjIyODI2OTMyM18yXzM=_b_B358e6b1dbf7db9a80ffc4f82cee98a4e.mp4

林志炫精选34首(2小时),https://txmov2.a.kwimgs.com/bs3/video-hls/5253449075409106514_hlsb.m3u8


故·生活健康,#genre#
钓鱼欧尼,http://live.nctv.top/douyu1.php?id=10616765


人·休闲健身,#genre#
晴彩广场舞,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011523

花花努力健身中,https://live.ottiptv.cc/huya/30805993


来·其他综合,#genre#
7师傅,http://live.nctv.top/douyu1.php?id=17732

DJ舞曲串烧点播,https://txmov2.a.kwimgs.com/bs3/video-hls/5259923016524978973_hlsb.m3u8

HOY77,http://iptv.4666888.xyz/iptv2A.php?id=35

HOY国际财经,https://cdn11.163189.xyz/163189/2c86601a7180416e

I Do,https://cfss.cc/api/kg/14892888.mp4

MOMO亲子,http://iptv.4666888.xyz/iptv2A.php?id=49

MYTV黄金翡翠,http://iptv.4666888.xyz/iptv2A.php?id=32

Mojito,https://cfss.cc/api/kg/2697588.mp4

PVA,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv

ROCK_Action,http://iptv.4666888.xyz/iptv2A.php?id=50

RTHK31,http://iptv.4666888.xyz/iptv2A.php?id=23

SPOTV,http://iptv.4666888.xyz/iptv2A.php?id=2

SPOTV2,http://iptv.4666888.xyz/iptv2A.php?id=1

SixDegree,https://cfss.cc/api/kg/13221831.mp4

SkyTennis+,http://iptv.4666888.xyz/iptv2A.php?id=62

S哥影视,https://live.ottiptv.cc/huya/24720260

TVB1,http://iptv.4666888.xyz/iptv2A.php?id=25

TVBJ1,http://iptv.4666888.xyz/iptv2A.php?id=26

TVBS精彩,http://iptv.4666888.xyz/iptv2A.php?id=47

TVB翡翠(马来),http://iptv.4666888.xyz/iptv2A.php?id=28

TVB翡翠剧集,http://iptv.4666888.xyz/iptv2A.php?id=33

TVB金曲,http://iptv.4666888.xyz/iptv2A.php?id=57

TVB黄金华剧,http://iptv.4666888.xyz/iptv2A.php?id=34

YAYA晓雅,https://live.ottiptv.cc/huya/30631709

iQIYI,http://iptv.4666888.xyz/iptv2A.php?id=21

mine mine,https://cfss.cc/api/kg/67367.mp4

一人之上,https://live.ottiptv.cc/huya/11602065

一点点,https://cfss.cc/api/kg/612883.mp4

一路向北,https://cfss.cc/api/kg/32776.mp4

七月的极光,https://cfss.cc/api/kg/14853225.mp4

七里香,https://cfss.cc/api/kg/756969.mp4

七龙珠,https://live.ottiptv.cc/huya/11601966

上海一九四三,https://cfss.cc/api/kg/598114.mp4

不能说的秘密,https://cfss.cc/api/kg/159059.mp4

不该,https://cfss.cc/api/kg/581244.mp4

世界未解之谜,http://live.nctv.top/douyu1.php?id=9369468

东森综合2,http://iptv.4666888.xyz/iptv2A.php?id=58

东风破,https://cfss.cc/api/kg/158899.mp4

